chunk,accuracy,precision,recall,f1
1,0.62,0.8925373134328358,0.6600441501103753,0.7588832487309645
2,0.932,0.9336099585062241,0.995575221238938,0.9635974304068522
3,0.904,0.904862579281184,0.9930394431554525,0.9469026548672567
4,0.944,0.9442148760330579,0.9978165938864629,0.970276008492569
5,0.948,0.9495798319327731,0.9955947136563876,0.9720430107526882
6,0.946,0.9650655021834061,0.9757174392935982,0.9703622392974753
7,0.952,0.956989247311828,0.9910913140311804,0.973741794310722
8,0.942,0.9558498896247241,0.9796380090497737,0.9675977653631285
9,0.954,0.9649122807017544,0.9843400447427293,0.9745293466223699
10,0.946,0.9524838012958964,0.9887892376681614,0.9702970297029703
11,0.94,0.9393305439330544,0.9977777777777778,0.9676724137931034
12,0.946,0.9462809917355371,0.9978213507625272,0.9713679745493107
13,0.932,0.9305263157894736,0.9977426636568849,0.9629629629629629
14,0.914,0.9659090909090909,0.9381898454746137,0.9518477043673013
15,0.932,0.9297520661157025,1.0,0.9635974304068522
16,0.944,0.9452631578947368,0.9955654101995566,0.9697624190064795
17,0.924,0.936542669584245,0.9794050343249427,0.9574944071588367
18,0.954,0.9641350210970464,0.9870410367170627,0.9754535752401281
19,0.954,0.9576271186440678,0.9934065934065934,0.9751887810140237
20,0.944,0.9484978540772532,0.9910313901345291,0.9692982456140351
21,0.948,0.9600840336134454,0.9849137931034483,0.9723404255319149
22,0.922,0.9427966101694916,0.973741794310722,0.9580193756727664
23,0.936,0.9455337690631809,0.9841269841269841,0.9644444444444444
24,0.954,0.9674620390455532,0.9823788546255506,0.9748633879781421
25,0.916,0.9343544857768052,0.9726651480637813,0.953125
26,0.914,0.9130434782608695,0.997737556561086,0.9535135135135135
27,0.96,0.960167714884696,0.9978213507625272,0.9786324786324786
28,0.942,0.945031712473573,0.9933333333333333,0.9685807150595883
29,0.932,0.9463519313304721,0.98,0.962882096069869
30,0.938,0.9482758620689655,0.9843400447427293,0.9659714599341384
31,0.934,0.930672268907563,1.0,0.9640914036996736
32,0.948,0.9482758620689655,0.995475113122172,0.9713024282560706
33,0.942,0.9565217391304348,0.9799554565701559,0.9680968096809681
34,0.942,0.9580573951434879,0.9774774774774775,0.967670011148272
35,0.95,0.9576271186440678,0.9890590809628009,0.9730893433799784
36,0.946,0.9586056644880174,0.9821428571428571,0.9702315325248071
37,0.938,0.9326086956521739,1.0,0.9651293588301463
38,0.932,0.9520697167755992,0.9732739420935412,0.9625550660792952
39,0.934,0.934156378600823,0.9978021978021978,0.9649309245483528
40,0.924,0.9219712525667351,1.0,0.9594017094017094
41,0.934,0.9344262295081968,0.9978118161925602,0.9650793650793651
42,0.946,0.954248366013072,0.9864864864864865,0.9700996677740864
43,0.954,0.9573560767590619,0.9933628318584071,0.9750271444082519
44,0.96,0.961864406779661,0.9956140350877193,0.978448275862069
45,0.938,0.9416846652267818,0.990909090909091,0.9656699889258029
46,0.946,0.9520697167755992,0.9886877828054299,0.9700332963374029
47,0.932,0.9402985074626866,0.9865771812080537,0.962882096069869
48,0.92,0.9194214876033058,0.9977578475336323,0.956989247311828
49,0.934,0.9338842975206612,0.9977924944812362,0.9647812166488794
50,0.934,0.9369747899159664,0.9933184855233853,0.9643243243243244
51,0.952,0.9612903225806452,0.9867549668874173,0.9738562091503268
52,0.958,0.9635193133047211,0.9911699779249448,0.9771490750816104
53,0.948,0.9612068965517241,0.9823788546255506,0.971677559912854
54,0.946,0.9611231101511879,0.9801762114537445,0.9705561613958561
55,0.948,0.9515789473684211,0.9934065934065934,0.9720430107526882
56,0.942,0.9534883720930233,0.9847161572052402,0.9688506981740065
57,0.964,0.9678800856531049,0.9934065934065934,0.9804772234273319
58,0.94,0.9447983014861996,0.9910913140311804,0.967391304347826
59,0.924,0.9536423841059603,0.9621380846325167,0.9578713968957872
60,0.958,0.9658848614072495,0.9890829694323144,0.9773462783171522
61,0.97,0.9700854700854701,0.9978021978021978,0.9837486457204767
62,0.95,0.951271186440678,0.9955654101995566,0.9729144095341279
63,0.948,0.9520697167755992,0.9909297052154195,0.9711111111111111
64,0.94,0.9468085106382979,0.9888888888888889,0.967391304347826
65,0.952,0.9655172413793104,0.9824561403508771,0.9739130434782609
66,0.94,0.9518599562363238,0.981941309255079,0.9666666666666667
67,0.954,0.9571734475374732,0.9933333333333333,0.9749182115594329
68,0.942,0.9571734475374732,0.9802631578947368,0.9685807150595883
69,0.942,0.9522776572668112,0.984304932735426,0.9680264608599779
70,0.952,0.9504132231404959,1.0,0.9745762711864406
71,0.952,0.9513742071881607,0.9977827050997783,0.974025974025974
72,0.938,0.9399585921325052,0.9956140350877193,0.966986155484558
73,0.956,0.9549356223175965,0.9977578475336323,0.9758771929824561
74,0.95,0.95,0.9978118161925602,0.9733191035218783
75,0.95,0.9557894736842105,0.9912663755458515,0.9732047159699893
76,0.956,0.9532908704883227,1.0,0.9760869565217392
77,0.954,0.9513742071881607,1.0,0.9750812567713976
78,0.956,0.9695652173913043,0.9823788546255506,0.975929978118162
79,0.938,0.9408033826638478,0.9933035714285714,0.9663409337676439
80,0.942,0.9393305439330544,1.0,0.9687162891046386
81,0.94,0.9461206896551724,0.9887387387387387,0.9669603524229075
82,0.946,0.9482758620689655,0.9932279909706546,0.9702315325248071
