chunk,accuracy,precision,recall,f1
1,0.986,0.9761904761904762,1.0,0.9879518072289156
2,0.982,0.9703947368421053,1.0,0.9849749582637729
3,0.988,0.9792387543252595,1.0,0.9895104895104895
4,0.988,0.9801324503311258,1.0,0.9899665551839465
5,0.986,0.9753521126760564,1.0,0.9875222816399287
6,0.982,0.9716981132075472,1.0,0.9856459330143541
7,0.986,0.9767441860465116,1.0,0.9882352941176471
8,0.996,0.9931506849315068,1.0,0.9965635738831615
9,0.986,0.9774193548387097,1.0,0.9885807504078303
10,0.982,0.9711538461538461,1.0,0.9853658536585366
11,0.99,0.9826388888888888,1.0,0.9912434325744308
12,0.978,0.9642857142857143,1.0,0.9818181818181818
13,0.982,0.9696969696969697,1.0,0.9846153846153847
14,0.984,0.9737704918032787,1.0,0.9867109634551495
15,0.984,0.9741935483870968,1.0,0.9869281045751634
16,0.986,0.9769736842105263,1.0,0.9883527454242929
17,0.986,0.9777777777777777,1.0,0.9887640449438202
18,0.99,0.9833333333333333,1.0,0.9915966386554622
19,0.992,0.9867986798679867,1.0,0.9933554817275747
20,0.994,0.9902912621359223,1.0,0.9951219512195122
21,0.98,0.968944099378882,1.0,0.9842271293375394
22,0.98,0.9695121951219512,1.0,0.9845201238390093
23,0.978,0.9646302250803859,1.0,0.9819967266775778
24,0.994,0.9904761904761905,1.0,0.9952153110047847
25,0.98,0.9665551839464883,1.0,0.9829931972789115
26,0.988,0.9798657718120806,1.0,0.9898305084745763
27,0.978,0.965625,1.0,0.9825119236883942
28,0.976,0.9601328903654485,1.0,0.9796610169491525
29,0.976,0.9609120521172638,1.0,0.9800664451827242
30,0.988,0.9798657718120806,1.0,0.9898305084745763
31,0.992,0.9868852459016394,1.0,0.9933993399339934
32,0.992,0.9864406779661017,1.0,0.9931740614334471
33,0.978,0.9620689655172414,1.0,0.9806678383128296
34,0.99,0.9833887043189369,1.0,0.9916247906197655
35,0.988,0.9807073954983923,1.0,0.9902597402597403
36,0.976,0.9606557377049181,1.0,0.979933110367893
37,0.982,0.9724770642201835,1.0,0.986046511627907
38,0.996,0.9933993399339934,1.0,0.9966887417218543
39,0.984,0.9732441471571907,1.0,0.9864406779661017
40,0.994,0.9899328859060402,1.0,0.9949409780775716
41,0.986,0.9771241830065359,1.0,0.9884297520661157
42,0.99,0.9831649831649831,1.0,0.9915110356536503
43,0.988,0.9810126582278481,1.0,0.9904153354632588
44,0.99,0.9832214765100671,1.0,0.9915397631133672
45,0.982,0.9713375796178344,1.0,0.9854604200323102
46,0.9772727272727273,0.9655172413793104,1.0,0.9824561403508771
